marca_temporal,modalidad,trabajo,tipo_de_trabajo,devops,codificar_por_trabajo,experiencia_en_ti,experiencia_en_codificación_,primera_línea_de_código_en_una_máquina,educación,carreras_o_especialidades,importancia_educación_formal,género,edad_actual_,salario_mensual,programación_scripting_y_lenguajes_de_marcado,librerías_o_web_frameworks,otras_frameworks_librerías_y_herramientas,base_de_datos,plataformas,lenguaje_favorito,lenguaje_más_odiado,framework_favorito,framework_más_odiado,herramientas
2021/03/02 9:38:58 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev de sistemas embebidos;Aps de escritorio o empresariales;DB Admin,Sys Admin,Sí,10-14,5-9,14-15,Ed. Secundaria;Autodidacta,Ninguna,+ || -,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,TypeScript;Java;Fox Pro,Angular;Spring,,PostgreSQL,GNU/Linux;Microsoft Windows;Android;Heroku,Java,,Spring,,GitHub;Slack;GitLab;Google Suite;Trello
2021/03/02 10:00:46 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,,Sí,5-9,5-9,12-13,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL,React.js;Angular;Angular.js;Spring,Node.js,PostgreSQL;MongoDB,GNU/Linux;Microsoft Windows,JavaScript,,Spring,,GitHub;GitLab;Google Suite;Microsoft Team;Trello
2021/03/02 10:05:49 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev full-stack;DB Admin;Project Lead,Sys Admin,Sí,20-24,15-19,22-23,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,+ || -,HOMBRE,35-39,15.000.000 a 18.000.000 Gs.,JavaScript;PHP;Python;Java;Kotlin;C;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;Dart;VBA,JQuery;Spring;Django;Flask,.NET;Pandas;Flutter,MySQL;PostgreSQL;SQLite;Oracle,GNU/Linux;Microsoft Windows;Docker;Android;Raspberry Pi;Kubernetes;Arduino,Java,JavaScript,Spring,,GitHub;Slack;Google Suite;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/02 10:09:25 a. m. GMT-3,Ninguna,Ambas,Dev back-end;Dev front-end;Dev full-stack;Dev de sistemas embebidos;Aps de escritorio o empresariales;DB Admin;Project Lead,Sys Admin;Data Scientist ML Specialist;Diseñador,No,45-49,15-19,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática;Diseño Gráfico,+ || -,NO COMPARTO,35-39,> 27.000.000 Gs.,JavaScript;Python;Ruby;Java;Go;HTML/CSS,React.js;Vue.js;Spring;Django;Flask;CakePHP;Ruby on Rails;Gatsby,Pandas;TensorFlow;Unity 3D;Flutter;Keras;Chef,MySQL;MariaDB;PostgreSQL;Oracle;Elasticsearch,GNU/Linux;MacOS;Docker;AWS;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Heroku,OpcióFox Pron 27,VBA,Vue.js,Laravel,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Trello;Facebook Workplace;Discord
2021/03/02 10:13:36 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Dev mobile,,Sí,<5,<5,14-15,Ed. Secundaria;Autodidacta,Ninguna,NO,NO COMPARTO,15-19,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;Python;Go;HTML/CSS;Dart,Angular;Express,Node.js;Flutter,MySQL;MongoDB;Firebase,GNU/Linux;Microsoft Windows,Go,PHP,Express,,GitHub;Jira;Google Suite;Confluence
2021/03/02 10:13:38 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev full-stack;DB Admin,Sys Admin,Sí,15-19,15-19,20-21,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,MUY,HOMBRE,35-39,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Python;Java;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly,Angular.js;JQuery;Vue.js;Django;Laravel;CodeIgniter,Node.js;Pandas;TensorFlow;Flutter;Keras,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB,GNU/Linux;Microsoft Windows;MacOS;Raspberry Pi;Arduino,PHP,,Laravel,,GitHub;Slack;GitLab;Google Suite;Trello
2021/03/02 10:14:42 a. m. GMT-3,Hibrído,Internacional,Dev full-stack;Dev de sistemas embebidos;DB Admin,Sys Admin;Inv. Cientifico,Sí,15-19,20-24,22-23,Ed. Universitaria,Programación;Ing. Informática;Otras,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;C;C#;HTML/CSS;Bash/Shell/PowerShell;Fox Pro,React.js;Angular.js;Spring;Django;Laravel;Ruby on Rails,Node.js;.NET;NET Core;React Native;Unity 3D;Flutter;Cordova;Xamarin,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase;Cassandra;IBM DB2;Couchbase,GNU/Linux;Docker;AWS;Raspberry Pi;Microsoft Azure;WordPress;Google Cloud Platform;Kubernetes;Arduino,JavaScript,COBOL,Angular.js,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Microsoft Azure;Trello;Facebook Workplace;Discord
2021/03/02 10:34:43 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Project Lead,,Sí,10-14,10-14,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,35-39,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;Java;C++;HTML/CSS;SQL;Bash/Shell/PowerShell,JQuery;Vue.js;CodeIgniter,,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows,PHP,Spring,CodeIgniter,Spring,GitHub
2021/03/02 10:35:36 a. m. GMT-3,Ninguna,Internacional,Dev front-end,Diseñador,No,<5,<5,<10,Ed. Basica;Ed. Secundaria,Ninguna,NO,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;HTML/CSS,React.js;JQuery;Express,Node.js,MySQL;MongoDB,Microsoft Windows;Android;WordPress,JavaScript,TypeScript,React.js,JQuery,GitHub;Facebook Workplace
2021/03/02 10:45:10 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,5-9,5-9,18-19,Ed. Basica;Ed. Secundaria,Programación,+ || -,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell;Rust,JQuery;Vue.js;Laravel;CodeIgniter,,MariaDB;SQLite,GNU/Linux,Rust,JavaScript,Laravel,CodeIgniter,GitHub;GitLab;Trello
2021/03/02 10:47:18 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile,,Sí,5-9,5-9,,Ed. Universitaria,Programación;Ing. Informática,MUY,MUJER,30-34,7.000.000 a 9.000.000 Gs.,JavaScript;Java;Kotlin;C;C++;HTML/CSS;SQL;Swift;Objective-C;Dart,React.js;JQuery;Gatsby,Node.js,MySQL;PostgreSQL;SQLite,MacOS;Android;iOS;Heroku,,,React.js,,GitHub;Slack;GitLab;Jira;Confluence;Microsoft Team
2021/03/02 11:01:31 a. m. GMT-3,Remoto,Internacional,Dev full-stack,,Sí,5-9,10-14,16-17,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,30-34,> 27.000.000 Gs.,JavaScript;Python;Java;C;HTML/CSS;Bash/Shell/PowerShell;Swift;Objective-C,React.js;JQuery;Spring;Django;Flask,React Native,MySQL;PostgreSQL;Redis,GNU/Linux;MacOS;Docker;Raspberry Pi;iOS;Heroku,Python,Perl,Django,,GitHub;Slack
2021/03/02 11:01:42 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,MUY,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,Java,,,PostgreSQL,GNU/Linux;Microsoft Windows,Python,PHP,Django,,GitHub;GitLab
2021/03/02 11:05:05 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end,,Sí,<5,<5,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,25-29,2.192.839 Gs.,JavaScript;TypeScript;Java;HTML/CSS,React.js,Node.js;React Native,MySQL;MariaDB;PostgreSQL;Oracle,Microsoft Windows;MacOS,JavaScript,,React.js,,GitHub;Jira;Google Suite
2021/03/02 11:12:10 a. m. GMT-3,Presencial,Nacional (Paraguay),Aps de escritorio o empresariales,Sys Admin,Sí,5-9,5-9,12-13,Ed. Universitaria,Ing. Informática,MUY,MUJER,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;Python;SQL,JQuery;Laravel,Pandas;Cordova,MySQL;PostgreSQL;Microsoft SQL Server;Firebase,GNU/Linux;Microsoft Windows;WordPress;iOS;Arduino,SQL,Haskell,Django,Ruby on Rails,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Trello;Facebook Workplace;Discord
2021/03/02 11:13:38 a. m. GMT-3,Remoto,Internacional,Dev de videojuegos,,Sí,10-14,10-14,20-21,Ed. Basica;Ed. Secundaria,Ing. Electrónica,NO,NO COMPARTO,30-34,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;Python;Ruby;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Rust;Dart,React.js;JQuery;Django;Ruby on Rails,React Native;Unity 3D;Flutter,MySQL;MariaDB;PostgreSQL;SQLite;Firebase,GNU/Linux;Microsoft Windows;MacOS;Android;iOS;Arduino,C#,JavaScript,,React.js,GitHub;Slack;Jira;Google Suite
2021/03/02 12:05:50 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end,,Sí,<5,<5,<10,Ed. Universitaria,Programación,MUY,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;Python;C#;HTML/CSS;SQL,ASP.NET;ASP.NET Core;Vue.js;Django,.NET;NET Core,PostgreSQL;Microsoft SQL Server;MongoDB;Oracle,Microsoft Windows,Python,Java,Vue.js,Spring,Google Suite;Microsoft Team;Discord
2021/03/02 12:27:08 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,,Sí,5-9,5-9,10-11,Ed. Secundaria,Programación,+ || -,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;PHP;Java;SQL,JQuery;Express;Spring;Django,Node.js;Xamarin,MySQL;PostgreSQL;MongoDB;Oracle,GNU/Linux;Microsoft Windows;AWS,TypeScript,C++,Express,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Trello;Discord
2021/03/02 12:33:02 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end;Dev mobile,,Sí,<5,<5,<10,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;PHP;Python;Java;HTML/CSS;SQL;Dart,React.js;Django,React Native;Flutter,MySQL;PostgreSQL;Oracle,GNU/Linux;MacOS;Android;iOS,Dart,Java,Django,React.js,GitHub;Slack;GitLab;Google Suite;Trello
2021/03/02 12:41:50 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end,,Sí,10-14,5-9,12-13,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;Oracle form;Fox Pro,JQuery;ASP.NET;Spring,.NET;Xamarin,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle,Microsoft Windows;Android,C#,JavaScript,Spring,,Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/02 12:43:00 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;PHP;Java;C;HTML/CSS;SQL,Express;Vue.js;Laravel,Node.js,PostgreSQL,GNU/Linux;Microsoft Windows,JavaScript,R,Vue.js,JQuery,GitLab;Google Suite
2021/03/02 1:08:02 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev front-end;Dev mobile,Diseñador,Sí,<5,<5,14-15,Ed. Universitaria,Ing. Informática,MUY,MUJER,20-24,2.192.839 Gs.,JavaScript;TypeScript;PHP;Python;Java;C;C#;C++;HTML/CSS;SQL;Fox Pro,Angular;Angular.js;ASP.NET;ASP.NET Core,.NET;Cordova,MySQL;PostgreSQL;Microsoft SQL Server,Microsoft Windows;Arduino,Java,PHP,Angular,Ruby on Rails,GitHub;GitLab;Google Suite;Confluence;Microsoft Team;Microsoft Azure
2021/03/02 1:12:18 p. m. GMT-3,Remoto,Ambas,Dev full-stack,Sys Admin,Sí,10-14,5-9,16-17,Ed. Universitaria;Autodidacta,Análisis de Sistemas,+ || -,HOMBRE,35-39,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;C;Go;HTML/CSS;SQL;COBOL,JQuery;Laravel,Flutter,MySQL;MariaDB,GNU/Linux,PHP,VBA,Laravel,ASP.NET,GitHub
2021/03/02 1:14:22 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,5-9,<5,12-13,Ed. Basica;Ed. Secundaria,Programación,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;JQuery;Vue.js;Laravel;CodeIgniter,,MySQL;MariaDB,GNU/Linux;Microsoft Windows;MacOS;AWS;Android;iOS,PHP,Java,Laravel,Angular.js,GitHub;Slack;Jira;Google Suite;Trello
2021/03/02 1:17:51 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end;DB Admin;Project Lead,Diseñador,Sí,5-9,5-9,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Análisis de Sistemas;Diseño Gráfico,+ || -,HOMBRE,20-24,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,React.js;Angular.js;JQuery;Vue.js;Laravel,,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server,Microsoft Windows;MacOS;AWS;WordPress,PHP,Java,Laravel,ASP.NET,GitHub;Slack;GitLab;Jira;Google Suite;Microsoft Team;Microsoft Azure;Trello
2021/03/02 1:20:07 p. m. GMT-3,Remoto,Nacional (Paraguay),QA o testing,,Sí,<5,<5,<10,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,MUJER,25-29,3.500.000 a 5.000.000 Gs.,C#,JQuery,.NET,Microsoft SQL Server,Microsoft Windows,SQL,JavaScript,,,Slack;GitLab;Jira;Google Suite;Confluence;Trello
2021/03/02 1:23:39 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,10-14,10-14,18-19,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Análisis de Sistemas;Ing. Informática,MUY,MUJER,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;C#;SQL,JQuery;ASP.NET,.NET,Microsoft SQL Server;Oracle,Microsoft Windows,C#,Java,ASP.NET,Spring,Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/02 1:29:52 p. m. GMT-3,Ninguna,Nacional (Paraguay),Dev front-end;Dev mobile,,No,<5,15-19,18-19,Ed. Basica;Ed. Secundaria,Programación;Análisis de Sistemas;Ing. Informática,CRITICO,HOMBRE,20-24,< 2.192.839 Gs.,JavaScript;Python;Java;C;C++;HTML/CSS,React.js;JQuery,Node.js,MySQL;Oracle,GNU/Linux;Microsoft Windows;Android;Raspberry Pi;iOS,JavaScript,Java,React.js,ASP.NET Core,GitHub;Google Suite;Discord
2021/03/02 1:45:29 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Aps de escritorio o empresariales;Project Lead,,Sí,20-24,20-24,22-23,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,40-44,12.000.000 a 15.000.000 Gs.,Java;C#,ASP.NET;ASP.NET Core,.NET;NET Core,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server,Microsoft Windows,C#,COBOL,ASP.NET Core,CakePHP,
2021/03/02 2:25:34 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack,,Sí,10-14,5-9,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,30-34,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;Python;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;R;VBA,Angular;JQuery;ASP.NET;ASP.NET Core;Django;Flask,.NET;NET Core;Pandas;Cordova,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Redis;Oracle;Firebase;IBM DB2,GNU/Linux;Microsoft Windows;Raspberry Pi;Microsoft Azure,Python,Java,Django,Spring,GitHub;Google Suite;Microsoft Team;Microsoft Azure;Trello
2021/03/02 2:30:17 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev front-end;Aps de escritorio o empresariales;DB Admin,Sys Admin;Diseñador,Sí,10-14,<5,20-21,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,BASTANTE,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,PHP;Python;Java;C;C++;HTML/CSS;SQL,,.NET;NET Core,MySQL;PostgreSQL;Oracle,GNU/Linux;Microsoft Windows;Raspberry Pi,SQL,JavaScript,,,GitHub;Microsoft Team;Discord
2021/03/02 3:08:47 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Universitaria,Programación;Ing. Informática,BASTANTE,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;C;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Vue.js,Ansible,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Redis,GNU/Linux;Microsoft Windows;Docker;Google Cloud Platform;Kubernetes,C,Go,,,GitHub;Slack;GitLab;Microsoft Team;Discord
2021/03/02 3:09:10 p. m. GMT-3,Presencial,Nacional (Paraguay),Aps de escritorio o empresariales;DB Admin,Sys Admin;Educador,Sí,5-9,<5,10-11,Ed. Universitaria;Autodidacta,Programación;Ing. Informática,MUY,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Java;C++;HTML/CSS;SQL,Angular;JQuery;Spring,Node.js;Flutter;Cordova,MySQL;MariaDB;PostgreSQL,GNU/Linux;Microsoft Windows;WordPress,Java,,Angular,,Slack;Google Suite;Microsoft Team;Trello
2021/03/02 3:35:38 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev front-end,Sys Admin,No,<5,<5,<10,Ed. Basica;Ed. Secundaria;Autodidacta,Diseño Gráfico,CRITICO,HOMBRE,25-29,< 2.192.839 Gs.,PHP;Python;HTML/CSS,Django;Laravel,,,Microsoft Windows;WordPress,Python,Java,Laravel,JQuery,GitHub;Google Suite
2021/03/02 3:50:08 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,Sys Admin,Sí,5-9,5-9,10-11,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,Java;C;C#;HTML/CSS;SQL;Fox Pro,JQuery,.NET,MySQL;PostgreSQL;Microsoft SQL Server;Oracle,GNU/Linux;Microsoft Windows,Java,PHP,,Laravel,Slack;Microsoft Team
2021/03/02 3:59:12 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Secundaria;Autodidacta,Programación;Otras,BASTANTE,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;Java;Kotlin;HTML/CSS,Angular;Angular.js;JQuery;Express;Spring,Node.js,PostgreSQL,GNU/Linux;Microsoft Windows,JavaScript,TypeScript,Express,Angular,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/02 3:59:33 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;DB Admin,,Sí,5-9,5-9,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Otras Ing.;Diseño Gráfico,BASTANTE,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,,,MySQL;MariaDB,Microsoft Windows;WordPress,JavaScript,,,,GitHub;Slack;Google Suite
2021/03/02 3:59:47 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Ing. Informática,NO,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;Python;C;HTML/CSS;SQL,React.js;Express,Node.js,MySQL;PostgreSQL;SQLite;MongoDB;Redis;Elasticsearch,GNU/Linux;MacOS;Docker;Google Cloud Platform,JavaScript,JavaScript,Express,React.js,GitHub;Slack;GitLab;Google Suite;Trello;Discord
2021/03/02 4:03:07 p. m. GMT-3,Hibrído,Ambas,Aps de escritorio o empresariales,Sys Admin,Sí,5-9,5-9,<10,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,C#;SQL,,.NET;NET Core,Microsoft SQL Server;SQLite;Oracle,Microsoft Windows,C#,Java,ASP.NET,JQuery,GitHub;Slack;Google Suite;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/02 4:52:28 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev front-end;Dev mobile,,Sí,<5,5-9,14-15,Ed. Universitaria,Programación;Ing. Informática,+ || -,HOMBRE,20-24,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;PHP;Python;HTML/CSS;SQL,React.js;Angular;JQuery;Vue.js;Django;Laravel,Node.js;React Native;Unity 3D;Flutter,MySQL;MariaDB;PostgreSQL;MongoDB;Firebase,GNU/Linux;Android,Python,C,,,GitHub;Slack;GitLab;Microsoft Team;Trello;Discord
2021/03/02 5:26:01 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev full-stack;Dev mobile,,Sí,5-9,5-9,<10,Ed. Universitaria;Autodidacta,Ing. Informática,BASTANTE,HOMBRE,30-34,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,Angular;Angular.js;JQuery;Laravel,Cordova,MySQL;PostgreSQL;MongoDB,GNU/Linux;Microsoft Windows;Docker,PHP,SQL,Laravel,React.js,GitLab;Microsoft Team;Trello
2021/03/02 7:39:36 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev full-stack;DB Admin;Project Lead,Sys Admin,Sí,5-9,5-9,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,CRITICO,HOMBRE,25-29,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;C;HTML/CSS;SQL;Bash/Shell/PowerShell,JQuery;Django;Laravel;Symfony;CakePHP,Node.js;Unity 3D,MySQL;MariaDB;Microsoft SQL Server;Oracle,GNU/Linux;Microsoft Windows;WordPress;Google Cloud Platform,PHP,C++,Laravel,ASP.NET Core,GitHub;Slack;GitLab;Jira;Microsoft Team;Trello;Discord
2021/03/02 8:00:56 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Project Lead,,Sí,15-19,10-14,14-15,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,JQuery;Vue.js;Laravel,,MySQL;MariaDB;PostgreSQL,GNU/Linux;Microsoft Windows;AWS;WordPress,PHP,Fox Pro,Laravel,,GitLab;Trello
2021/03/02 9:21:00 p. m. GMT-3,Hibrído,Ambas,Dev full-stack;DB Admin;Project Lead,Sys Admin;Inv. Cientifico,Sí,5-9,5-9,14-15,Ed. Universitaria,Ing. Informática,MUY,HOMBRE,30-34,18.000.000 a 21.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,Angular;Angular.js;JQuery;Express;Spring;Django,Node.js;Pandas;Cordova,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Firebase,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;WordPress;Google Cloud Platform;iOS,Java,Bash/Shell/PowerShell,Spring,,GitHub;Slack;Jira;Google Suite;Microsoft Team;Trello
2021/03/02 10:28:51 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile;Aps de escritorio o empresariales;QA o testing;DB Admin;Project Lead,Sys Admin;Educador,Sí,10-14,10-14,18-19,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,Java;Swift,Spring,,PostgreSQL;SQLite,GNU/Linux;Microsoft Windows;MacOS;Android;Google Cloud Platform;iOS,Java,PHP,,Laravel,GitHub;Slack;GitLab;Google Suite;Trello
2021/03/02 11:09:45 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev front-end;Dev full-stack;DB Admin,Sys Admin;Data Scientist ML Specialist;Inv. Cientifico,Sí,10-14,10-14,14-15,Master,Ing. Informática,+ || -,HOMBRE,30-34,15.000.000 a 18.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl;Oracle form,Angular;JQuery;Django;Flask;Laravel,Node.js;Pandas;Unity 3D,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;Oracle;Firebase,GNU/Linux;Docker;Android;Raspberry Pi;Google Cloud Platform;Kubernetes,Python,Oracle form,Angular,,GitHub;GitLab;Google Suite
2021/03/02 11:30:26 p. m. GMT-3,Hibrído,Internacional,DB Admin,Data Scientist ML Specialist,Sí,<5,<5,<10,Ed. Universitaria,Matemático,BASTANTE,HOMBRE,25-29,15.000.000 a 18.000.000 Gs.,Python;SQL,,Pandas;Keras,PostgreSQL,GNU/Linux;MacOS,Python,HTML/CSS,,,GitHub;Slack;Jira;Confluence
2021/03/02 11:48:41 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack,,Sí,<5,<5,10-11,Ed. Universitaria,Programación;Análisis de Sistemas,+ || -,HOMBRE,30-34,< 2.192.839 Gs.,JavaScript;TypeScript;Python;Java;HTML/CSS;SQL,React.js;Angular;Angular.js;Spring,Node.js,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB,GNU/Linux;Microsoft Windows;Docker;Heroku,TypeScript,,Spring,,GitHub;Trello
