"Marca temporal","Modalidad","Trabajo","Tipo de trabajo","DevOps","Codificar por trabajo","Experiencia en TI","Experiencia en codificación ","Primera línea de código en una máquina","Educación","Carreras o especialidades","Importancia educación formal","Género","Edad actual ","Salario mensual","Programación, scripting y lenguajes de marcado","Librerías o web frameworks","Otras frameworks, librerías y herramientas","Base de datos","Plataformas","Lenguaje favorito","Lenguaje más odiado","Framework favorito","Framework más odiado","Herramientas"
"2021/03/05 4:06:28 p. m. GMT-3","Remoto","Ambas","Project Leader","Científico de datos o especialista Machine Learning;Educador","Sí","20 a 24 años","20 a 24 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria;Master","Ingeniero Informática","Bastante importante","Hombre","35 a 39 años","Más de 27.000.000 gs","JavaScript;PHP;Python;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl","JQuery;ASP.NET;Spring","Node.js;.NET;Pandas;Keras","MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2","GNU/Linux;Microsoft Windows;MacOS","Java","JavaScript","Spring","JQuery","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/05 5:09:24 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack","","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria","Programación;Análisis de sistemas","Más o menos importante","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;PHP;C#;HTML/CSS;Bash/Shell/PowerShell;VBA;Genexus;Fox Pro","Angular.js;JQuery;ASP.NET;Express;ASP.NET Core;Laravel",".NET;NET Core;Xamarin","MySQL;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle","GNU/Linux;Microsoft Windows;Android;Microsoft Azure;Heroku","C#","C","ASP.NET Core","CakePHP","GitHub;Slack;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure"
"2021/03/05 7:35:54 p. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Otras ingenerías","Bastante importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL","React.js;JQuery;Flask","","PostgreSQL","GNU/Linux;MacOS","TypeScript","PHP","React.js","Ruby on Rails","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/05 9:39:06 p. m. GMT-3","Hibrído","Nacional (Paraguay)","QA o testing;Administrador de base de datos;Project Leader","Diseñador","Sí","5 a 9 años","Menos de 5 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Muy importante","Mujer","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Python;Ruby;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Perl","Angular;Angular.js;JQuery;Spring;Django;CodeIgniter;Ruby on Rails","","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;IBM DB2","GNU/Linux;Microsoft Windows;Docker;Android;WordPress","HTML/CSS","","Angular","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/06 2:36:36 a. m. GMT-3","Remoto","Ambas","Desarrollador front-end;Desarrollador mobile","","Sí","Menos de 5 años","Menos de 5 años","16 a 17 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Python;C;HTML/CSS;SQL","React.js;Angular;Django","Node.js;React Native;Cordova","MySQL;PostgreSQL;SQLite;Redis","GNU/Linux;Microsoft Windows","JavaScript","C","Django","Angular.js","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/06 7:44:31 a. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Otras ingenerías","Bastante importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL","React.js;JQuery;Flask","","PostgreSQL","GNU/Linux;MacOS","TypeScript","PHP","React.js","Ruby on Rails","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/06 11:24:15 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end","Administrador de sistemas","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Análisis de sistemas;Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Salario mínimo 2.192.839 gs","JavaScript;PHP;Java;SQL","JQuery","Node.js","PostgreSQL","GNU/Linux;Microsoft Windows;Docker","PHP","Java","Express","","GitHub;GitLab"
"2021/03/06 12:08:31 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Administrador de base de datos","","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Master","Ingeniero Informática","Más o menos importante","Hombre","35 a 39 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Python;HTML/CSS;SQL;Bash/Shell/PowerShell","JQuery;Django","","MySQL;PostgreSQL","GNU/Linux","Python","Java","Django","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/06 3:01:13 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Administrador de base de datos","","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Master","Ingeniero Informática","Más o menos importante","Hombre","35 a 39 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Python;HTML/CSS;SQL;Bash/Shell/PowerShell","JQuery;Django","","MySQL;PostgreSQL","GNU/Linux","Python","Java","Django","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/06 11:06:50 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;QA o testing","","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","Python;Java;C;C#;HTML/CSS","Vue.js;Spring;Django",".NET;NET Core","PostgreSQL;Oracle;Firebase;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;AWS;Android","Python","JavaScript","Vue.js","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/07 11:15:12 a. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador de sistemas embebidos","Diseñador","Sí","35 a 39 años","35 a 39 años","más de 30 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Mujer","55 a 59 años","Entre 12.000.000 a 15.000.000 gs","SQL;Bash/Shell/PowerShell;COBOL","","","PostgreSQL;Oracle","GNU/Linux","SQL","","","","Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team;Trello"
"2021/03/07 11:45:18 a. m. GMT-3","Remoto","Internacional","Desarrollador mobile;Desarrollador de videojuegos","Diseñador","No","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria","Programación;Diseño gráfico","Bastante importante","Hombre","20 a 24 años","Menos del salario mínimo ( 2.192.839 gs)","JavaScript;Java;C#;C++;HTML/CSS","JQuery","Unity 3D","SQLite","GNU/Linux;Microsoft Windows;Android","JavaScript","Kotlin","","","GitHub;Discord"
"2021/03/07 1:06:50 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","20 a 21 años","Educación universitaria;Master","Programación;Ingeniero Informática;Otras","Muy importante","Hombre","40 a 44 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Python;Ruby;Java;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;VBA;Fox Pro;COBOL","JQuery;CakePHP;Ruby on Rails","Unity 3D;Cordova","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;IBM DB2","GNU/Linux;Microsoft Windows;Android;WordPress;Heroku","C","JavaScript","CakePHP","CodeIgniter","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello;Discord"
"2021/03/08 12:45:00 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación universitaria","Ingeniero Informática","Bastante importante","Mujer","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Python;Java;C#;HTML/CSS;SQL","JQuery;Spring;Django",".NET","MySQL;PostgreSQL;SQLite","GNU/Linux;Microsoft Windows","Python","","Django","","GitHub;Jira"
"2021/03/08 12:48:38 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador mobile;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;Python;Java;C;HTML/CSS;Genexus","Express;Django","Node.js","MySQL;PostgreSQL;MongoDB","GNU/Linux;Microsoft Windows;Heroku","Python","HTML/CSS","Express","Laravel","GitHub;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/08 12:59:03 p. m. GMT-3","Presencial","Nacional (Paraguay)","QA o testing","","Sí","Menos de 5 años","","","Educación universitaria","Análisis de sistemas","Muy importante","Mujer","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","","","","PostgreSQL;Oracle","GNU/Linux;Microsoft Windows","SQL","","","","GitHub;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure;Trello"
"2021/03/08 1:04:09 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Administrador de base de datos","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Python;Java","React.js;Angular.js;JQuery;Django","","PostgreSQL","GNU/Linux","","PHP","","","GitHub;Slack;GitLab;Jira"
"2021/03/08 1:08:21 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end;Desarrollador front-end","","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Análisis de sistemas","Muy importante","Mujer","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;Python;Java;C;HTML/CSS;SQL","React.js;Express;Flask;Laravel","Node.js","MySQL;MariaDB;PostgreSQL;MongoDB;Firebase","GNU/Linux;MacOS;WordPress","JavaScript","Genexus","React.js","ASP.NET","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/08 1:21:22 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end","Científico de datos o especialista Machine Learning","Sí","5 a 9 años","10 a 14 años","20 a 21 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","35 a 39 años","Entre 5.000.000 a 7.000.000 gs","Python;Java;C#;SQL","JQuery;ASP.NET;ASP.NET Core;Spring","TensorFlow","PostgreSQL;Microsoft SQL Server;Oracle","Microsoft Windows","Java","","Spring","","GitHub;Slack;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/08 1:26:33 p. m. GMT-3","Hibrído","Internacional","Desarrollador back-end","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Java;HTML/CSS;SQL","React.js;Angular;Angular.js;Spring","Cordova","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle;Firebase","GNU/Linux;Microsoft Windows;MacOS;Docker;iOS;Heroku","Java","PHP","React.js","JQuery","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/08 1:27:27 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end","","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Python;Java;C;HTML/CSS;SQL","Angular;Angular.js;Vue.js","Node.js","PostgreSQL;Oracle","GNU/Linux;Microsoft Windows","Java","PHP","Vue.js","ASP.NET","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/08 1:33:19 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile","","Sí","10 a 14 años","5 a 9 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","Java;SQL","","","PostgreSQL;MongoDB;Oracle","GNU/Linux;Microsoft Windows;MacOS;iOS","Java","PHP","Spring","Django","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/08 1:34:43 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales","Científico de datos o especialista Machine Learning;Diseñador","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación universitaria;Autodidacta","Análisis de sistemas","Crítico","Hombre","35 a 39 años","Entre 15.000.000 a 18.000.000 gs","Java;SQL;Oracle form","","","MySQL;Microsoft SQL Server;Oracle","Microsoft Windows","Oracle form","","","",""
"2021/03/08 1:43:22 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","35 a 39 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;Java;HTML/CSS;SQL;Oracle form;Genexus;Fox Pro;COBOL","Angular;JQuery;Spring","Node.js","MySQL;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows","Java","SQL","Angular","Django","GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/08 1:44:09 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile","","Sí","10 a 14 años","5 a 9 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas;Diseño gráfico","Bastante importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;HTML/CSS;SQL","React.js;Angular;Angular.js;JQuery;ASP.NET;Spring;Laravel;Symfony","Node.js;.NET;React Native;Cordova","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle","GNU/Linux;Microsoft Windows;Android","JavaScript","Genexus","Angular","React.js","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello;Discord"
"2021/03/08 1:48:30 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Project Leader","","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Master","Análisis de sistemas","Más o menos importante","Mujer","25 a 29 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;Java;C#;HTML/CSS;SQL","JQuery;ASP.NET;ASP.NET Core;Spring",".NET;NET Core","MySQL;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Microsoft Azure","C#","C","ASP.NET","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Trello"
"2021/03/08 1:52:50 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador de sistemas embebidos;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","16 a 17 años","Educación básica;Educación secundaria;Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","35 a 39 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;Python;Ruby;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly;Perl;Oracle form","Angular.js;JQuery;CodeIgniter","Node.js;.NET","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle;Firebase;IBM DB2","GNU/Linux;Microsoft Windows;Docker;AWS;Android;Kubernetes","Java","JavaScript","Angular.js","CodeIgniter","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/08 2:10:07 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","5 a 9 años","12 a 13 años","Educación universitaria;Autodidacta","Análisis de sistemas;Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Python;Ruby;Java;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift","Angular;Angular.js;JQuery;Express;Vue.js;Spring;Django;Flask","Node.js;.NET;NET Core","MySQL;PostgreSQL;MongoDB","GNU/Linux;Microsoft Windows;MacOS;Docker;iOS","Python","PHP","Vue.js","Laravel","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Azure;Trello;Discord"
"2021/03/08 2:16:10 p. m. GMT-3","Presencial","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación universitaria","Programación;Análisis de sistemas","Más o menos importante","Mujer","35 a 39 años","Entre 7.000.000 a 9.000.000 gs","SQL","","","Microsoft SQL Server","Microsoft Windows","Otro","Assembly","","",""
"2021/03/08 2:22:05 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria","Programación;Análisis de sistemas","Bastante importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C#;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Dart","Angular;Angular.js;JQuery;Vue.js;Spring;Django;CodeIgniter","Pandas;TensorFlow;Flutter;Keras;Cordova;Xamarin","MySQL;PostgreSQL;Microsoft SQL Server;Redis;Oracle;Firebase","GNU/Linux;MacOS;Docker;AWS;iOS;Kubernetes","Java","","Spring","","GitHub;Slack;GitLab;Jira;Confluence"
"2021/03/08 2:26:55 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Project Leader","Administrador de sistemas","Sí","15 a 19 años","10 a 14 años","14 a 15 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","35 a 39 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;JQuery;Django","Pandas;TensorFlow;Keras","MySQL;PostgreSQL;SQLite;Redis;Oracle","GNU/Linux;Microsoft Windows","Python","","Django","Angular","GitHub;GitLab;Jira;Google Suite (Docs, Meet, etc)"
"2021/03/08 2:38:28 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack","","Sí","10 a 14 años","5 a 9 años","","Educación universitaria","Ingeniero Informática","Crítico","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly","Angular;Angular.js;JQuery;Spring;Django","Node.js;TensorFlow;Flutter;Cordova","MySQL;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows;Docker;AWS;WordPress","Java","Genexus","Angular","JQuery","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Trello"
"2021/03/08 2:41:45 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales","","Sí","10 a 14 años","10 a 14 años","12 a 13 años","Educación universitaria","Programación;Análisis de sistemas;Diseño gráfico","Muy importante","Mujer","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;Python;Java;C;C++;HTML/CSS;SQL;Oracle form","Angular.js;JQuery","Node.js","MySQL;PostgreSQL;Oracle","GNU/Linux;Microsoft Windows","Java","","","","GitLab;Jira;Confluence;Microsoft Team"
"2021/03/08 4:50:11 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas;Educador","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación universitaria","Programación;Ingeniero Informática","Bastante importante","Mujer","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;Java;C#;HTML/CSS;SQL","ASP.NET;Laravel","Node.js;.NET","MySQL;PostgreSQL;Microsoft SQL Server","Microsoft Windows","PHP","Java","Laravel","Spring","GitHub;GitLab;Trello"
"2021/03/08 6:33:11 p. m. GMT-3","Remoto","Ambas","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria","Ingeniero Informática","Más o menos importante","Mujer","20 a 24 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Python;Java;C;C++;HTML/CSS;SQL","JQuery;Django","","MySQL;MariaDB","Microsoft Windows;MacOS","PHP","Java","JQuery","Angular.js","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/08 7:41:09 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile;Aplicaciones de escritorio o empresariales","","Sí","5 a 9 años","Menos de 5 años","20 a 21 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;Genexus","JQuery;Vue.js;Laravel","Flutter;Xamarin","MySQL;PostgreSQL;Microsoft SQL Server;SQLite","GNU/Linux;Microsoft Windows;MacOS;AWS;Android;Google Cloud Platform;iOS","Genexus","COBOL","Vue.js","CakePHP","GitHub;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello;Discord"
"2021/03/08 8:25:28 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","12 a 13 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","Python;Java;HTML/CSS;SQL","JQuery;Spring","Pandas;TensorFlow;Hadoop","Microsoft SQL Server","GNU/Linux;Microsoft Windows","Python","C","Spring","","Slack;GitLab"
"2021/03/08 10:43:26 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas","Más o menos importante","Hombre","25 a 29 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Python;Java;HTML/CSS;Genexus","JQuery;Spring;Django","Node.js","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle","GNU/Linux;Microsoft Windows;MacOS","Java","Fox Pro","Spring","JQuery","GitHub;Slack;GitLab;Jira;Confluence;Microsoft Team;Trello;Discord"
"2021/03/09 8:49:34 a. m. GMT-3","Remoto","Internacional","Project Leader","","Sí","10 a 14 años","5 a 9 años","10 a 11 años","Educación universitaria;Master","Análisis de sistemas","Crítico","Mujer","30 a 34 años","Más de 27.000.000 gs","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL;Scala","React.js;Angular;Express;Spring;Django","Node.js;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Redis;Oracle","GNU/Linux;Microsoft Windows;MacOS;Docker","TypeScript","PHP","React.js","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/09 10:39:39 a. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end","Científico de datos o especialista Machine Learning","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;Python;C#;HTML/CSS;SQL","React.js;Django;Flask","Pandas","MariaDB;PostgreSQL;MongoDB;Oracle","GNU/Linux;Microsoft Windows","Python","","Flask","","Microsoft Team"
"2021/03/09 10:50:53 a. m. GMT-3","Remoto","Ambas","Desarrollador full-stack","Científico de datos o especialista Machine Learning","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación universitaria","Análisis de sistemas","No importa, no es necesario","Otros","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;TypeScript;PHP;Python;Ruby;Java;Kotlin;C#;HTML/CSS","React.js;ASP.NET;ASP.NET Core","Node.js;.NET;NET Core;Xamarin","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle","GNU/Linux;Microsoft Windows;Docker;AWS","C#","C++","ASP.NET Core","Spring","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure;Discord"
"2021/03/09 11:34:54 a. m. GMT-3","Remoto","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales","Administrador de sistemas","Sí","15 a 19 años","5 a 9 años","Menos de 10 años","Educación universitaria","Análisis de sistemas","Bastante importante","Mujer","40 a 44 años","Entre 2.192.839 gs a 3.500.000 gs","PHP;C#;SQL;VBA","ASP.NET;Laravel",".NET","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server","Microsoft Windows","SQL","Java","ASP.NET","","Jira;Google Suite (Docs, Meet, etc);Trello"
"2021/03/09 2:33:25 p. m. GMT-3","Presencial","Nacional (Paraguay)","Project Leader","","Sí","10 a 14 años","5 a 9 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Análisis de sistemas;Ingeniero Informática;Diseño gráfico","Bastante importante","Hombre","35 a 39 años","Entre 12.000.000 a 15.000.000 gs","JavaScript;PHP;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Assembly;Swift","Angular;Angular.js;Django","Pandas;TensorFlow","MySQL;MariaDB;PostgreSQL","GNU/Linux;Microsoft Windows;MacOS;Docker;Raspberry Pi;WordPress;iOS;Kubernetes","Python","","Django","","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/09 9:31:18 p. m. GMT-3","Hibrído","Nacional (Paraguay)","QA o testing","","Sí","15 a 19 años","Menos de 5 años","14 a 15 años","Educación universitaria","Otras","Muy importante","Mujer","35 a 39 años","Entre 9.000.000 a 12.000.000 gs","Genexus","","","IBM DB2","Microsoft Windows","Genexus","Oracle form","","","Slack;Jira;Confluence;Microsoft Team"
"2021/03/10 2:50:27 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end","","No","5 a 9 años","Menos de 5 años","14 a 15 años","Educación universitaria","Programación;Análisis de sistemas","Bastante importante","Mujer","25 a 29 años","Salario mínimo 2.192.839 gs","JavaScript;TypeScript;PHP;Java;C;HTML/CSS;SQL;Genexus","Angular;Angular.js;Spring","Node.js","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows","HTML/CSS","JavaScript","Spring","Angular","GitHub;Trello;Discord"
